ADM2_EN,ADM2_AR,ADM2_PCODE,ADM2_REF,ADM2ALT1_EN,ADM2ALT2_EN,ADM2ALT1_AR,ADM2ALT2_AR,ADM1_EN,ADM1_AR,ADM1_PCODE,ADM0_EN,ADM0_AR,ADM0_PCODE,DATE,VALIDON,VALIDTO,AREA_SQKM
Reifi Aroma,ريفى أروما,SD11055,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,5950.579102
Reifi Gharb Kassala,ريفى غرب كسلا,SD11054,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,1959.917358
Reifi Hamashkureib,ريفى همش كوريب,SD11058,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3901.339844
Reifi Kassla,ريفى كسلا,SD11056,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,2818.325439
Reifi Khashm Elgirba,ريفى خشم القربة,SD11060,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,12081.30664
Reifi Nahr Atbara,ريفى نهر عطبرة,SD11062,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,2382.866211
Reifi Shamal Ad Delta,ريفى شمال الدلتا,SD11057,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,7442.759766
Reifi Telkok,ريفى تلكوك,SD11059,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,5634.250977
Reifi Wad Elhilaiw,ريفى ود الحليو,SD11061,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,4869.644531
Saraf Omra,سرف عمرة,SD02133,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,1482.725342
Sawakin,سواكن,SD10068,,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,1968.308105
Sennar,سنار,SD14038,,,,,,Sennar,سنار,SD14,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,5532.481445
Shamal Jabal Marrah,شمال  جبل مرة,SD06132,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,1095.473877
Sharg Aj Jabal,شرق الجبل,SD03147,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,2899.848389
Sharg Al Jazirah,شرق الجزيرة,SD15033,,,,,,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,6519.232422
Sharg An Neel,شرق النيل,SD01004,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,9471.344727
Sharg Sennar,شرق سنار,SD14042,,,,,,Sennar,سنار,SD14,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3156.27417
Shattaya,شطاية,SD03154,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,1829.512573
Sheikan,شيكان,SD13024,,,,,,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,8407.606445
Shendi,شندي,SD16010,,,,,,River Nile,نهر النيل,SD16,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,11835.50977
Shia'ria,شعيرية,SD05148,Shiaria,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3733.148193
Sinja,سنجة,SD14043,,,,,,Sennar,سنار,SD14,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,1724.182617
Sinkat,سنكات,SD10071,,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,8037.417969
Sirba,سربا,SD04134,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,1965.524292
Soudari,سودري,SD13025,,,,,,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,81590.84375
Talawdi,تلودي,SD07089,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3642.047119
Tawila,طويلة,SD02170,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3483.012939
Tawkar,طوكر,SD10065,,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,11350.86719
Tendalti,تندلتي,SD09048,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,4375.82373
Tulus,تلس,SD03149,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,2148.909668
Um Algura,أم القري,SD15032,,,,,,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3931.016602
Um Bada,أمبدة,SD01002,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3465.040527
Um Baru,أم برو,SD02120,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,16391.7832
Um Dafoug,أم دافوق,SD03146,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,5185.274414
Um Dam Haj Ahmed,أم دم حاج أحمد,SD13028,,,,,,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,4992.26709
Um Dukhun,أم دخن,SD06135,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,2723.064453
Um Durein,أم دورين,SD07091,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,2126.691162
Um Durman,أم درمان,SD01006,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,1217.532104
Um Kadadah,أم كدادة,SD02136,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,13090.37598
Um Rawaba,أم روابة,SD13023,,,,,,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,11671.30273
Um Rimta,أم رمتة,SD09045,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3168.533447
Wad Al Mahi,ود الماحي,SD08110,,,,,,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3817.262939
Wad Bandah,ود بندة,SD18029,,,,,,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,11410.05664
Wadi Salih,وادي صالح,SD06137,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3311.155762
Wasat Al Gedaref,وسط القضارف,SD12081,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,9576.756836
Wasat Jabal Marrah,وسط جبل مرة,SD06139,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,447.7180176
Yassin,يس,SD05165,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,5493.333496
Zalingi,زالنجى,SD06138,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,6153.831543
