locality_name_en,locality_name_ar,locality_code,state_name_en,state_name_ar,state_code,country_name_en,country_name_ar,country_code,data_date,valid_from,area_sqkm,size_category,state_name_standardized,is_special_admin
Al Khiwai,الخوي,SD18105,West Kordofan,غرب كردفان,SD18,Sudan,السودان‎,SD,3/11/2020,8/31/2020,9173.193359,Large,West Kordofan,FALSE
Al Koma,الكومة,SD02116,North Darfur,شمال دارفور,SD02,Sudan,السودان‎,SD,3/11/2020,8/31/2020,776.2297363,Small,North Darfur,FALSE
Al Kurmuk,الكرمك,SD08106,Blue Nile,النيل الأزرق,SD08,Sudan,السودان‎,SD,3/11/2020,8/31/2020,9727.5625,Large,Blue Nile,FALSE
Al Lagowa,لقاوة,SD18102,West Kordofan,غرب كردفان,SD18,Sudan,السودان‎,SD,3/11/2020,8/31/2020,7388.193848,Large,West Kordofan,FALSE
Al Lait,اللعيت,SD02169,North Darfur,شمال دارفور,SD02,Sudan,السودان‎,SD,3/11/2020,8/31/2020,2796.141113,Medium,North Darfur,FALSE
Al Leri,الليري,SD07105,South Kordofan,جنوب كردفان,SD07,Sudan,السودان‎,SD,3/11/2020,8/31/2020,7420.941895,Large,South Kordofan,FALSE
Al Mafaza,المفازة,SD12082,Gedaref,القضارف,SD12,Sudan,السودان‎,SD,3/11/2020,8/31/2020,1380.979614,Medium,Gedaref,FALSE
Al Malha,المالحة,SD02117,North Darfur,شمال دارفور,SD02,Sudan,السودان‎,SD,3/11/2020,8/31/2020,194627.9219,Very Large,North Darfur,FALSE
Al Manaqil,المناقل,SD15036,Aj Jazirah,الجزيرة,SD15,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3740.301758,Medium,Aj Jazirah,FALSE
Al Matama,المتمة,SD16009,River Nile,نهر النيل,SD16,Sudan,السودان‎,SD,3/11/2020,8/31/2020,9272.297852,Large,River Nile,FALSE
Al Meiram,الميرم,SD18106,West Kordofan,غرب كردفان,SD18,Sudan,السودان‎,SD,3/11/2020,8/31/2020,5553.874512,Large,West Kordofan,FALSE
Al Quoz,القوز,SD07094,South Kordofan,جنوب كردفان,SD07,Sudan,السودان‎,SD,3/11/2020,8/31/2020,2617.922119,Medium,South Kordofan,FALSE
Al Qurashi,القرشي,SD15037,Aj Jazirah,الجزيرة,SD15,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3136.283203,Medium,Aj Jazirah,FALSE
Al Qureisha,القريشة,SD12076,Gedaref,القضارف,SD12,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3543.648438,Medium,Gedaref,FALSE
Al Radoum,الردوم,SD03141,South Darfur,جنوب دارفور,SD03,Sudan,السودان‎,SD,3/11/2020,8/31/2020,25527.87109,Very Large,South Darfur,FALSE
Al Wihda,الوحدة,SD03150,South Darfur,جنوب دارفور,SD03,Sudan,السودان‎,SD,3/11/2020,8/31/2020,1076.722168,Medium,South Darfur,FALSE
An Nuhud,النهود,SD18022,West Kordofan,غرب كردفان,SD18,Sudan,السودان‎,SD,3/11/2020,8/31/2020,12277.27539,Large,West Kordofan,FALSE
Ar Rahad,الرهد,SD12084,Gedaref,القضارف,SD12,Sudan,السودان‎,SD,3/11/2020,8/31/2020,2129.606445,Medium,Gedaref,FALSE
Ar Rahad,الرهد,SD13030,North Kordofan,شمال كردفان,SD13,Sudan,السودان‎,SD,3/11/2020,8/31/2020,5674.84082,Large,North Kordofan,FALSE
Ar Rashad,الرشاد,SD07093,South Kordofan,جنوب كردفان,SD07,Sudan,السودان‎,SD,3/11/2020,8/31/2020,1770.461792,Medium,South Kordofan,FALSE
Ar Reif Ash Shargi,الريف الشرقي,SD07097,South Kordofan,جنوب كردفان,SD07,Sudan,السودان‎,SD,3/11/2020,8/31/2020,2145.702148,Medium,South Kordofan,FALSE
Ar Rusayris,الروصيرص,SD08107,Blue Nile,النيل الأزرق,SD08,Sudan,السودان‎,SD,3/11/2020,8/31/2020,4023.921631,Medium,Blue Nile,FALSE
As Salam - SD,السلام - ج د,SD03166,South Darfur,جنوب دارفور,SD03,Sudan,السودان‎,SD,3/11/2020,8/31/2020,5094.058594,Large,South Darfur,FALSE
As Salam - WK,السلام - غ ك,SD18086,West Kordofan,غرب كردفان,SD18,Sudan,السودان‎,SD,3/11/2020,8/31/2020,9135.216797,Large,West Kordofan,FALSE
As Salam / Ar Rawat,السلام / الراوات,SD09049,White Nile,النيل الأبيض,SD09,Sudan,السودان‎,SD,3/11/2020,8/31/2020,8701.022461,Large,White Nile,FALSE
As Serief,السريف,SD02118,North Darfur,شمال دارفور,SD02,Sudan,السودان‎,SD,3/11/2020,8/31/2020,6201.309082,Large,North Darfur,FALSE
As Suki,السوكي,SD14041,Sennar,سنار,SD14,Sudan,السودان‎,SD,3/11/2020,8/31/2020,2779.983398,Medium,Sennar,FALSE
As Sunta,السنطة,SD03156,South Darfur,جنوب دارفور,SD03,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3497.426758,Medium,South Darfur,FALSE
As Sunut,السنوط,SD18092,West Kordofan,غرب كردفان,SD18,Sudan,السودان‎,SD,3/11/2020,8/31/2020,6891.76123,Large,West Kordofan,FALSE
Assalaya,عسلاية,SD05163,East Darfur,شرق دارفور,SD05,Sudan,السودان‎,SD,3/11/2020,8/31/2020,4825.941406,Medium,East Darfur,FALSE
At Tadamon - BN,التضامن - ن ق,SD08108,Blue Nile,النيل الأزرق,SD08,Sudan,السودان‎,SD,3/11/2020,8/31/2020,7984.749023,Large,Blue Nile,FALSE
At Tadamon - SK,التضامن - ج ك,SD07106,South Kordofan,جنوب كردفان,SD07,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3443.258057,Medium,South Kordofan,FALSE
At Tawisha,الطويشة,SD02119,North Darfur,شمال دارفور,SD02,Sudan,السودان‎,SD,3/11/2020,8/31/2020,10867.47656,Large,North Darfur,FALSE
At Tina,الطينة,SD02171,North Darfur,شمال دارفور,SD02,Sudan,السودان‎,SD,3/11/2020,8/31/2020,5624.436035,Large,North Darfur,FALSE
Atbara,عطبرة,SD16012,River Nile,نهر النيل,SD16,Sudan,السودان‎,SD,3/11/2020,8/31/2020,8617.351563,Large,River Nile,FALSE
Azum,أزوم,SD06110,Central Darfur,وسط دارفور,SD06,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3207.259277,Medium,Central Darfur,FALSE
Babanusa,بابنوسة,SD18100,West Kordofan,غرب كردفان,SD18,Sudan,السودان‎,SD,3/11/2020,8/31/2020,2357.284424,Medium,West Kordofan,FALSE
Bahr Al Arab,بحر العرب,SD05160,East Darfur,شرق دارفور,SD05,Sudan,السودان‎,SD,3/11/2020,8/31/2020,20467.69336,Very Large,East Darfur,FALSE
Bahri,بحري,SD01003,Khartoum,الخرطوم,SD01,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3200.486084,Medium,Khartoum,FALSE
Bara,بارا,SD13026,North Kordofan,شمال كردفان,SD13,Sudan,السودان‎,SD,3/11/2020,8/31/2020,11563.58203,Large,North Kordofan,FALSE
Barbar,بربر,SD16013,River Nile,نهر النيل,SD16,Sudan,السودان‎,SD,3/11/2020,8/31/2020,13448.91016,Large,River Nile,FALSE
Basundah,باسندة,SD12077,Gedaref,القضارف,SD12,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3734.070801,Medium,Gedaref,FALSE
Baw,باو,SD08104,Blue Nile,النيل الأزرق,SD08,Sudan,السودان‎,SD,3/11/2020,8/31/2020,7246.918945,Large,Blue Nile,FALSE
Beida,بيضا,SD04111,West Darfur,غرب دارفور,SD04,Sudan,السودان‎,SD,3/11/2020,8/31/2020,1824.077881,Medium,West Darfur,FALSE
Beliel,بليل,SD03162,South Darfur,جنوب دارفور,SD03,Sudan,السودان‎,SD,3/11/2020,8/31/2020,2383.612305,Medium,South Darfur,FALSE
Bendasi,بندسي,SD06112,Central Darfur,وسط دارفور,SD06,Sudan,السودان‎,SD,3/11/2020,8/31/2020,5421.369141,Large,Central Darfur,FALSE
Buram,برام,SD03161,South Darfur,جنوب دارفور,SD03,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3581.675537,Medium,South Darfur,FALSE
Damso,دمسو,SD03172,South Darfur,جنوب دارفور,SD03,Sudan,السودان‎,SD,3/11/2020,8/31/2020,1714.251343,Medium,South Darfur,FALSE
Dar As Salam,دار السلام,SD02113,North Darfur,شمال دارفور,SD02,Sudan,السودان‎,SD,3/11/2020,8/31/2020,2969.452393,Medium,North Darfur,FALSE
Delami,دلامي,SD07107,South Kordofan,جنوب كردفان,SD07,Sudan,السودان‎,SD,3/11/2020,8/31/2020,4094.327393,Medium,South Kordofan,FALSE
Delgo,دلقو,SD17015,Northern,الشمالية,SD17,Sudan,السودان‎,SD,3/11/2020,8/31/2020,56619.92578,Very Large,Northern,FALSE
Dilling,الدلنج,SD07095,South Kordofan,جنوب كردفان,SD07,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3704.655762,Medium,South Kordofan,FALSE
Dongola,دنقلا,SD17017,Northern,الشمالية,SD17,Sudan,السودان‎,SD,3/11/2020,8/31/2020,48382.17188,Very Large,Northern,FALSE
Dordieb,درديب,SD10063,Red Sea,البحر الأحمر,SD10,Sudan,السودان‎,SD,3/11/2020,8/31/2020,12266.77344,Large,Red Sea,FALSE
Ed Al Fursan,عد الفرسان,SD03143,South Darfur,جنوب دارفور,SD03,Sudan,السودان‎,SD,3/11/2020,8/31/2020,4434.612305,Medium,South Darfur,FALSE
Ed Damazine,الدمازين,SD08105,Blue Nile,النيل الأزرق,SD08,Sudan,السودان‎,SD,3/11/2020,8/31/2020,1893.763428,Medium,Blue Nile,FALSE
Foro Baranga,فور برنقا,SD04121,West Darfur,غرب دارفور,SD04,Sudan,السودان‎,SD,3/11/2020,8/31/2020,779.9899292,Small,West Darfur,FALSE
Gala'a Al Nahal,قلع النحل,SD12079,Gedaref,القضارف,SD12,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3861.084717,Medium,Gedaref,FALSE
Galabat Ash-Shargiah,القلابات الشرقية,SD12083,Gedaref,القضارف,SD12,Sudan,السودان‎,SD,3/11/2020,8/31/2020,4108.763672,Medium,Gedaref,FALSE
Gebrat Al Sheikh,جبرة الشيخ,SD13027,North Kordofan,شمال كردفان,SD13,Sudan,السودان‎,SD,3/11/2020,8/31/2020,50968.07031,Very Large,North Kordofan,FALSE
Geisan,قيسان,SD08109,Blue Nile,النيل الأزرق,SD08,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3471.006348,Medium,Blue Nile,FALSE
Gereida,قريضة,SD03153,South Darfur,جنوب دارفور,SD03,Sudan,السودان‎,SD,3/11/2020,8/31/2020,2408.004639,Medium,South Darfur,FALSE
Ghadeer,غدير,SD07108,South Kordofan,جنوب كردفان,SD07,Sudan,السودان‎,SD,3/11/2020,8/31/2020,6651.696777,Large,South Kordofan,FALSE
Gharb Bara,غرب بارا,SD13029,North Kordofan,شمال كردفان,SD13,Sudan,السودان‎,SD,3/11/2020,8/31/2020,11280.22754,Large,North Kordofan,FALSE
Gharb Jabal Marrah,غرب جبل مرة,SD06131,Central Darfur,وسط دارفور,SD06,Sudan,السودان‎,SD,3/11/2020,8/31/2020,2362.397949,Medium,Central Darfur,FALSE
Ghubaish,غبيش,SD18021,West Kordofan,غرب كردفان,SD18,Sudan,السودان‎,SD,3/11/2020,8/31/2020,7246.416016,Large,West Kordofan,FALSE
Guli,قلي,SD09052,White Nile,النيل الأبيض,SD09,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3049.011963,Medium,White Nile,FALSE
Habila - SK,هبيلة - ج ك,SD07103,South Kordofan,جنوب كردفان,SD07,Sudan,السودان‎,SD,3/11/2020,8/31/2020,6095.705078,Large,South Kordofan,FALSE
Habila - WD,هبيلة - غ د,SD04122,West Darfur,غرب دارفور,SD04,Sudan,السودان‎,SD,3/11/2020,8/31/2020,2314.130127,Medium,West Darfur,FALSE
Hala'ib,حلايب,SD10066,Red Sea,البحر الأحمر,SD10,Sudan,السودان‎,SD,3/11/2020,8/31/2020,40646.85156,Very Large,Red Sea,FALSE
Halfa,حلفا,SD17014,Northern,الشمالية,SD17,Sudan,السودان‎,SD,3/11/2020,8/31/2020,129237.4688,Very Large,Northern,FALSE
