locality_name_en,locality_name_ar,locality_code,state_name_en,state_name_ar,state_code,country_name_en,country_name_ar,country_code,data_date,valid_from,area_sqkm,size_category,state_name_standardized,is_special_admin
Sheikan,شيكان,SD13024,North Kordofan,شمال كردفان,SD13,Sudan,السودان‎,SD,3/11/2020,8/31/2020,8407.606445,Large,North Kordofan,FALSE
Shendi,شندي,SD16010,River Nile,نهر النيل,SD16,Sudan,السودان‎,SD,3/11/2020,8/31/2020,11835.50977,Large,River Nile,FALSE
Shia'ria,شعيرية,SD05148,East Darfur,شرق دارفور,SD05,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3733.148193,Medium,East Darfur,FALSE
Sinja,سنجة,SD14043,Sennar,سنار,SD14,Sudan,السودان‎,SD,3/11/2020,8/31/2020,1724.182617,Medium,Sennar,FALSE
Sinkat,سنكات,SD10071,Red Sea,البحر الأحمر,SD10,Sudan,السودان‎,SD,3/11/2020,8/31/2020,8037.417969,Large,Red Sea,FALSE
Sirba,سربا,SD04134,West Darfur,غرب دارفور,SD04,Sudan,السودان‎,SD,3/11/2020,8/31/2020,1965.524292,Medium,West Darfur,FALSE
Soudari,سودري,SD13025,North Kordofan,شمال كردفان,SD13,Sudan,السودان‎,SD,3/11/2020,8/31/2020,81590.84375,Very Large,North Kordofan,FALSE
Talawdi,تلودي,SD07089,South Kordofan,جنوب كردفان,SD07,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3642.047119,Medium,South Kordofan,FALSE
Tawila,طويلة,SD02170,North Darfur,شمال دارفور,SD02,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3483.012939,Medium,North Darfur,FALSE
Tawkar,طوكر,SD10065,Red Sea,البحر الأحمر,SD10,Sudan,السودان‎,SD,3/11/2020,8/31/2020,11350.86719,Large,Red Sea,FALSE
Tendalti,تندلتي,SD09048,White Nile,النيل الأبيض,SD09,Sudan,السودان‎,SD,3/11/2020,8/31/2020,4375.82373,Medium,White Nile,FALSE
Tulus,تلس,SD03149,South Darfur,جنوب دارفور,SD03,Sudan,السودان‎,SD,3/11/2020,8/31/2020,2148.909668,Medium,South Darfur,FALSE
Um Algura,أم القري,SD15032,Aj Jazirah,الجزيرة,SD15,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3931.016602,Medium,Aj Jazirah,FALSE
Um Bada,أمبدة,SD01002,Khartoum,الخرطوم,SD01,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3465.040527,Medium,Khartoum,FALSE
Um Baru,أم برو,SD02120,North Darfur,شمال دارفور,SD02,Sudan,السودان‎,SD,3/11/2020,8/31/2020,16391.7832,Large,North Darfur,FALSE
Um Dafoug,أم دافوق,SD03146,South Darfur,جنوب دارفور,SD03,Sudan,السودان‎,SD,3/11/2020,8/31/2020,5185.274414,Large,South Darfur,FALSE
Um Dam Haj Ahmed,أم دم حاج أحمد,SD13028,North Kordofan,شمال كردفان,SD13,Sudan,السودان‎,SD,3/11/2020,8/31/2020,4992.26709,Medium,North Kordofan,FALSE
Um Dukhun,أم دخن,SD06135,Central Darfur,وسط دارفور,SD06,Sudan,السودان‎,SD,3/11/2020,8/31/2020,2723.064453,Medium,Central Darfur,FALSE
Um Durein,أم دورين,SD07091,South Kordofan,جنوب كردفان,SD07,Sudan,السودان‎,SD,3/11/2020,8/31/2020,2126.691162,Medium,South Kordofan,FALSE
Um Durman,أم درمان,SD01006,Khartoum,الخرطوم,SD01,Sudan,السودان‎,SD,3/11/2020,8/31/2020,1217.532104,Medium,Khartoum,FALSE
Um Kadadah,أم كدادة,SD02136,North Darfur,شمال دارفور,SD02,Sudan,السودان‎,SD,3/11/2020,8/31/2020,13090.37598,Large,North Darfur,FALSE
Um Rawaba,أم روابة,SD13023,North Kordofan,شمال كردفان,SD13,Sudan,السودان‎,SD,3/11/2020,8/31/2020,11671.30273,Large,North Kordofan,FALSE
Um Rimta,أم رمتة,SD09045,White Nile,النيل الأبيض,SD09,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3168.533447,Medium,White Nile,FALSE
Wad Al Mahi,ود الماحي,SD08110,Blue Nile,النيل الأزرق,SD08,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3817.262939,Medium,Blue Nile,FALSE
Wad Bandah,ود بندة,SD18029,West Kordofan,غرب كردفان,SD18,Sudan,السودان‎,SD,3/11/2020,8/31/2020,11410.05664,Large,West Kordofan,FALSE
Wadi Salih,وادي صالح,SD06137,Central Darfur,وسط دارفور,SD06,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3311.155762,Medium,Central Darfur,FALSE
Wasat Al Gedaref,وسط القضارف,SD12081,Gedaref,القضارف,SD12,Sudan,السودان‎,SD,3/11/2020,8/31/2020,9576.756836,Large,Gedaref,FALSE
Wasat Jabal Marrah,وسط جبل مرة,SD06139,Central Darfur,وسط دارفور,SD06,Sudan,السودان‎,SD,3/11/2020,8/31/2020,447.7180176,Small,Central Darfur,FALSE
Yassin,يس,SD05165,East Darfur,شرق دارفور,SD05,Sudan,السودان‎,SD,3/11/2020,8/31/2020,5493.333496,Large,East Darfur,FALSE
Zalingi,زالنجى,SD06138,Central Darfur,وسط دارفور,SD06,Sudan,السودان‎,SD,3/11/2020,8/31/2020,6153.831543,Large,Central Darfur,FALSE
